home_team,score,away_team
George Washington,2-4,Old Dominion
VMI,4-2,Emory & Henry
Delaware,3-0,Howard
Boston U.,0-0,New Hampshire
Villanova,2-2,Saint Peter's
LIU,2-1,Stony Brook
Le Moyne,3-2,Canisius
Robert Morris,0-2,Bucknell
Ga. Southern,0-0,Wofford
Louisville,2-0,Jacksonville
St. Thomas (MN),1-0,NIU
Siena,0-0,Massachusetts
Western Mich.,3-1,Vermont
Boston College,2-2,Iona
Temple,1-1,Army West Point
FDU,3-2,Manhattan
UMass Lowell,1-1,Lafayette
Sacred Heart,4-2,Holy Cross
NC State,3-2,High Point
Eastern Ill.,3-0,UChicago
St. Bonaventure,0-3,Saint Francis
Milwaukee,0-0,Lindenwood
Niagara,2-3,UAlbany
Marquette,2-0,Drexel
Elon,1-0,FGCU
Bellarmine,1-2,Evansville
Duquesne,3-1,Seton Hill
Wake Forest,1-2,VCU
UMBC,1-1,Maryland
Coastal Carolina,2-4,Col. of Charleston
Rutgers,3-1,Northeastern
Clemson,3-0,Penn St.
Dayton,5-1,Detroit Mercy
FIU,0-1,Seton Hall
UAB,0-1,North Carolina
Creighton,0-0,Fla. Atlantic
Michigan,1-0,Loyola Chicago
UNC Greensboro,3-0,USC Upstate
South Fla.,1-4,Seattle U
Navy,0-2,George Mason
Providence,2-0,Quinnipiac
Butler,2-1,Southern Ind.
Mount St. Mary's,0-1,Binghamton
Georgia St.,0-0,Belmont
Xavier,0-0,Northern Ky.
Lehigh,0-0,La Salle
West Virginia,4-2,Purdue Fort Wayne
American,0-0,California Baptist
Hofstra,0-0,Fordham
Virginia,3-0,Rider
Virginia Tech,4-0,North Florida
South Carolina,7-1,Winthrop
Colgate,0-1,Syracuse
Oakland,1-2,Omaha
Rhode Island,2-0,St. John's (NY)
Marshall,3-0,Cal St. Fullerton
Kentucky,3-2,Oral Roberts
NJIT,1-1,Loyola Maryland
California,1-2,Denver
Saint Joseph's,1-2,Merrimack
UConn,6-0,Stonehill
Liberty,5-0,Mount Olive
Sacramento St.,1-3,Utah Valley
Houston Christian,2-3,Gardner-Webb
Memphis,1-2,Lipscomb
Bradley,1-0,Chicago St.
Saint Mary's (CA),0-1,Kansas City
UIW,0-2,IU Indy
Northwestern,2-0,Green Bay
Wisconsin,4-0,Marist
Ohio St.,1-1,Cleveland St.
Notre Dame,1-1,Akron
Pittsburgh,2-0,Georgetown
Furman,1-1,UNCW
UCF,3-1,Mercer
Central Ark.,3-0,Evangel
Drake,3-0,Grand View
ETSU,3-1,Longwood
SIUE,1-1,Michigan St.
UIC,3-4,DePaul
SMU,1-0,Air Force
Oregon St.,2-1,UC Irvine
CSUN,0-0,James Madison
Pacific,1-0,UC Davis
Grand Canyon,3-0,Western Ill.
Stanford,2-1,San Jose St.
Gonzaga,4-1,Northwest (WA)
UC San Diego,0-1,Santa Clara
San Diego,2-2,Duke
CSU Bakersfield,1-0,Utah Tech
UC Santa Barbara,3-1,Missouri St.
UCLA,2-0,LMU (CA)
San Francisco,0-0,Cal Poly
UNLV,2-0,Tulsa
UNC Asheville,3-1,Stetson
Monmouth,4-0,Fairfield
Bowling Green,3-2,Wright St.
Charlotte,3-0,Davidson
Campbell,2-1,Radford
Saint Louis,2-0,Indiana
San Diego St.,5-2,UC Riverside
Portland,2-1,Washington
Presbyterian,9-0,Erskine
San Francisco,2-2,Kansas City
Stonehill,1-1,Navy
Binghamton,1-0,Le Moyne
George Washington,2-1,Saint Peter's
Duquesne,3-1,Canisius
Wisconsin,4-0,Drexel
Michigan,2-1,Oakland
Milwaukee,3-2,Bradley
Lindenwood,1-3,UTRGV
Dayton,0-3,Jacksonville
South Carolina,2-2,North Florida
Marquette,6-1,Marist
NIU,4-2,Chicago St.
UAlbany,0-1,LIU
UC Davis,2-2,Utah Valley
NC State,1-0,FGCU
Mount St. Mary's,3-3,Robert Morris
Cleveland St.,1-0,St. Bonaventure
UCF,1-1,Seattle U
Northwestern,2-1,DePaul
California,1-0,Sacramento St.
Penn St.,2-1,Army West Point
Creighton,5-3,Drake
American,1-4,Hofstra
Butler,1-1,Western Ill.
San Jose St.,1-1,CSU Bakersfield
Winthrop,1-2,Furman
New Hampshire,0-1,Western Mich.
USC Upstate,2-0,ETSU
UMass Lowell,2-0,Central Conn. St.
Wake Forest,3-2,Central Ark.
Belmont,3-0,Southern Ind.
Memphis,0-3,Evansville
Akron,0-2,Ohio St.
Omaha,3-2,Fla. Atlantic
LMU (CA),1-2,CSUN
South Fla.,0-0,Mercer
Stanford,0-1,Denver
Xavier,4-1,Cal St. Fullerton
Syracuse,3-0,Niagara
Virginia,0-1,Colgate
